"line_code","env_code","DTA","DTS","PH","EH","grain_moisture","yield_bu_ac"
"CGR03/CG102","MNH1_14",69.9841031950489,71.9748064900535,174.389088448373,64.7117814427809,21.9585930317412,125.771626587614
"CGR03/LH198","MNH1_14",73.4665822848995,74.9864262856408,190.873785119202,94.8548129071886,24.8811162158569,133.53489926523
"CGX333/CG102","MNH1_14",69.4841031950489,70.8003932929953,178.528376117954,68.3446835347919,22.7047230576729,121.587391686064
"DKC 45-79 (95RM)","MNH1_14",71.4539241661513,71.9226212189576,182.33174443142,69.0244158667347,22.9602182586732,143.981961915455
"F42/H95","MNH1_14",75.9841031950483,78.812013088582,206.267914280661,94.3244247899982,28.3124630058094,115.377548209896
"F42/MO17","MNH1_14",75.4841031950483,77.812013088582,205.267914280661,90.3244247899982,26.4624630058094,120.545883774896
"F42/OH43","MNH1_14",72.9841031950483,76.812013088582,203.267914280661,92.8244247899982,28.9624630058094,106.737810684896
"LH132/LH51","MNH1_14",76.3135559432105,77.282763449445,199.789391617461,92.5160696966943,26.1869752307149,150.914598499416
"LH162/CG60","MNH1_14",64.9841031950483,66.812013088582,147.767914280661,62.3244247899983,20.4624630058094,93.2319260948963
"LH195/REDEAR-B","MNH1_14",81.3135559432105,82.282763449445,194.789391617461,108.516069696694,30.7869752307149,82.5840118794157
"LH198/CGR01","MNH1_14",72.3135559432105,73.282763449445,170.789391617461,73.5160696966943,21.0869752307149,151.621992399416
"LH74/PHG35","MNH1_14",73.9841031950483,74.812013088582,177.767914280661,86.8244247899983,22.4124630058094,144.328562579896
"LH74/PHM49","MNH1_14",74.4841031950483,75.312013088582,189.767914280661,87.3244247899983,24.6124630058094,107.201386754896
"LH74/PHN82","MNH1_14",74.4841031950483,75.312013088582,171.267914280661,87.8244247899983,23.3624630058094,138.207006804896
"LH74/TX205","MNH1_14",75.4841031950483,76.812013088582,192.267914280661,87.8244247899983,25.6624630058094,133.536809404896
"LH82/CG60","MNH1_14",69.3135559432105,71.282763449445,150.789391617461,61.5160696966943,27.2869752307149,131.888606099416
"LH82/CGR01","MNH1_14",71.4841031950483,73.312013088582,167.767914280661,70.8244247899982,23.7624630058094,147.887164859896
"LH82/LH198","MNH1_14",74.9841031950483,76.812013088582,131.267914280661,48.8244247899983,24.0624630058094,80.7603948048963
"M0003/LH198","MNH1_14",77.8211586203986,79.3037244559059,186.761611292306,88.9271098687708,28.395184892646,85.0628547567232
"M0008/CG102","MNH1_14",70.4546674699458,71.8759612764775,191.239574225307,82.3754338139315,24.8296304219136,119.453666648615
"M0008/LH198","MNH1_14",75.8119633720918,76.1954463903549,193.927294103725,90.2571561170917,26.1864467588626,97.8494001491193
"M0012/CG102","MNH1_14",70.4546674699458,72.8759612764775,196.239574225307,83.8754338139315,27.3296304219136,115.094109998615
"M0012/LH198","MNH1_14",75.3119633720918,76.1954463903549,189.427294103725,87.7571561170917,28.7364467588626,86.3890413391193
"M0014/CG102","MNH1_14",70.9546674699458,71.8759612764774,195.739574225307,84.8754338139315,25.7296304219136,126.900801448615
"M0014/LH198","MNH1_14",74.8119633720918,77.1954463903549,176.927294103725,87.7571561170917,26.9864467588626,99.7768456491194
